objectid,identifier,filename,publication,location,date,month_str,month_int,day,year,format,notes,collection
Alma_Record_September_16_1920_jpg,Alma_Record_September_16_1920_jpg,Alma_Record_September_16_1920.jpg,Alma Record,"Alma, Michigan, US",16/09/1920,September,09,16,1920,image/jpeg,,Alma Record
Alma_Record_September_16_1920_jpg,Alma_Record_September_16_1920_jpg,Alma_Record_September_16_1920.jpg,Alma Record,"Alma, Michigan, US",16/09/1920,September,09,16,1920,image/jpeg,,Alma Record
Battle_Creek_Enquirer_June_18_1928_jpg,Battle_Creek_Enquirer_June_18_1928_jpg,Battle_Creek_Enquirer_June_18_1928.jpg,Battle Creek Enquirer,"Battle Creek, Michigan, US",18/06/1928,June,06,18,1928,image/jpeg,,Battle Creek Enquirer
Battle_Creek_Enquirer_June_18_1928_jpg,Battle_Creek_Enquirer_June_18_1928_jpg,Battle_Creek_Enquirer_June_18_1928.jpg,Battle Creek Enquirer,"Battle Creek, Michigan, US",18/06/1928,June,06,18,1928,image/jpeg,,Battle Creek Enquirer
Battle_Creek_Enquirer_June_17_1928_jpg,Battle_Creek_Enquirer_June_17_1928_jpg,Battle_Creek_Enquirer_June_17_1928.jpg,Battle Creek Enquirer,"Battle Creek, Michigan, US",17/06/1928,June,06,17,1928,image/jpeg,,Battle Creek Enquirer
Calumet_News_April_16_1913_jpg,Calumet_News_April_16_1913_jpg,Calumet_News_April_16_1913.jpg,Calumet News,"Calumet, Michigan, US",16/04/1913,April,04,16,1913,image/jpeg,,Calumet News
Daily_Monitor_April_01_1941_jpg,Daily_Monitor_April_01_1941_jpg,Daily_Monitor_April_01_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",01/04/1941,April,04,01,1941,image/jpeg,,Daily Monitor
Daily_Monitor_April_01_1941_jpg,Daily_Monitor_April_01_1941_jpg,Daily_Monitor_April_01_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",01/04/1941,April,04,01,1941,image/jpeg,,Daily Monitor
Daily_Monitor_February_04_1941_jpg,Daily_Monitor_February_04_1941_jpg,Daily_Monitor_February_04_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",04/02/1941,February,02,04,1941,image/jpeg,,Daily Monitor
Daily_Monitor_February_12_1941_jpg,Daily_Monitor_February_12_1941_jpg,Daily_Monitor_February_12_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",12/02/1941,February,02,12,1941,image/jpeg,,Daily Monitor
Daily_Monitor_February_18_1941_jpg,Daily_Monitor_February_18_1941_jpg,Daily_Monitor_February_18_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",18/02/1941,February,02,18,1941,image/jpeg,,Daily Monitor
Daily_Monitor_January_21_1941_jpg,Daily_Monitor_January_21_1941_jpg,Daily_Monitor_January_21_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",21/01/1941,January,01,21,1941,image/jpeg,,Daily Monitor
Daily_Monitor_March_04_1941_jpg,Daily_Monitor_March_04_1941_jpg,Daily_Monitor_March_04_1941.jpg,Daily Monitor,"Mount Clemens, Michigan, US",04/03/1941,March,03,04,1941,image/jpeg,,Daily Monitor
Detroit_Times_June_15_1915_jpg,Detroit_Times_June_15_1915_jpg,Detroit_Times_June_15_1915.jpg,Detroit Times,"Detroit, Michigan, US",15/06/1915,June,06,15,1915,image/jpeg,,Detroit Times
Indianapolis_Times_April_20_1934_jpg,Indianapolis_Times_April_20_1934_jpg,Indianapolis_Times_April_20_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",20/04/1934,April,04,20,1934,image/jpeg,,Indianapolis Times
Indianapolis_Times_February_20_1934_jpg,Indianapolis_Times_February_20_1934_jpg,Indianapolis_Times_February_20_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",20/02/1934,February,02,20,1934,image/jpeg,,Indianapolis Times
Indianapolis_Times_January_19_1934_jpg,Indianapolis_Times_January_19_1934_jpg,Indianapolis_Times_January_19_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",19/01/1934,January,01,19,1934,image/jpeg,,Indianapolis Times
Indianapolis_Times_March_09_1934_jpg,Indianapolis_Times_March_09_1934_jpg,Indianapolis_Times_March_09_1934.jpg,Indianapolis Times,"Indianapolis, Indiana, US",09/03/1934,March,03,09,1934,image/jpeg,,Indianapolis Times
Indianapolis_Times_May_11_1932_jpg,Indianapolis_Times_May_11_1932_jpg,Indianapolis_Times_May_11_1932.jpg,Indianapolis Times,"Indianapolis, Indiana, US",11/05/1932,May,05,11,1932,image/jpeg,,Indianapolis Times
